building_type,tabula_ID,percentage
sfh,2,0.054945055
sfh,3,0.076923077
sfh,4,0.23992674
sfh,5,0.234432234
sfh,6,0.10989011
sfh,7,0.026556777
sfh,8,0.026556777
sfh,9,0.058608059
sfh,10,0.108058608
sfh,11,0.032051282
sfh,12,0.032051282
th,2,0.054945055
th,3,0.076923077
th,4,0.23992674
th,5,0.234432234
th,6,0.10989011
th,7,0.026556777
th,8,0.026556777
th,9,0.058608059
th,10,0.108058608
th,11,0.032051282
th,12,0.032051282
mfh,2,0.054945055
mfh,3,0.076923077
mfh,4,0.23992674
mfh,5,0.234432234
mfh,6,0.10989011
mfh,7,0.026556777
mfh,8,0.026556777
mfh,9,0.058608059
mfh,10,0.108058608
mfh,11,0.032051282
mfh,12,0.032051282
ab,2,0.076726343
ab,3,0.10741688
ab,4,0.335038363
ab,5,0.327365729
ab,6,0.153452685
non_res,1,0.131868132
non_res,2,0.474358974
non_res,3,0.10989
non_res,4,0.053114
non_res,5,0.058608
non_res,6,0.108059
non_res,7,0.064103
